wk_ending,state,deaths_st,cases_st,pop_st,deaths_pc_st,cases_pc_st,st_code,wk_tests,tests_pc,cum_all_doses,cum_1st_doses,wk_all_doses,wk_1st_doses,curr_date
2021-02-16,Ohio,1961,109415,129878,0.015098785013628175,0.015098785013628175,OH,66842291,5.689819368897742,1788902,1307563,419092,268968,NA
2021-02-16,Oklahoma,676,79138,50088,0.013496246605973487,0.013496246605973487,OK,23514526,5.9457891888884955,682354,477378,96300,45879,NA
2021-02-16,Oregon,512,31340,110993,0.004612903516437974,0.004612903516437974,OR,23576414,5.481497480871128,683885,475841,111487,63181,NA
2021-02-16,Pennsylvania,3016,115018,185536,0.016255605381165918,0.016255605381165918,PA,68358609,5.331810481323464,1822327,1363250,380969,254624,NA
2021-02-16,Rhode Island,1674,78666,151337,0.011061406001176183,0.011061406001176183,RI,19248459,18.22494603090441,151170,101461,25962,16424,NA
2021-02-16,South Carolina,813,61269,107264,0.0075794301909307875,0.0075794301909307875,SC,32407622,6.220153547916547,704186,525641,118494,65130,NA
2021-02-16,South Dakota,325,27575,13009,0.024982704281651166,0.024982704281651166,SD,4693898,5.197959750926605,160223,109875,27155,17260,NA
2021-02-16,Tennessee,1433,85775,70403,0.02035424626791472,0.02035424626791472,TN,46087096,6.681632688566134,1026918,693138,126338,139122,NA
2021-02-16,Texas,4760,338284,113265,0.042025338807222,0.042025338807222,TX,130659846,4.433310125100518,4155797,2970596,833735,457792,NA
2021-02-16,Utah,717,135691,86647,0.008274954701259132,0.008274954701259132,UT,19104280,5.820713441312322,525033,364224,18404,59233,NA
2021-02-16,Vermont,82,4481,38999,0.0021026180158465603,0.0021026180158465603,VT,6733480,10.721060533929029,106787,73105,16459,10081,NA
2021-02-16,Virginia,830,64154,63226,0.013127510834150508,0.013127510834150508,VA,39005894,4.5217881317519515,1399221,1004422,263582,107373,NA
2021-02-16,Washington,1321,82022,185729,0.007112513393169618,0.007112513393169618,WA,34004121,4.36112413589668,1166471,870853,224305,139114,NA
2021-02-16,West Virginia,275,11711,31441,0.008746541140548965,0.008746541140548965,WV,14336095,8.062728126564195,391186,247689,60969,29423,NA
2021-02-16,Wisconsin,1250,105835,78681,0.015886935854907792,0.015886935854907792,WI,45290522,7.739654291451275,976049,709908,209029,113996,NA
2021-02-16,Wyoming,127,8098,23150,0.0054859611231101515,0.0054859611231101515,WY,4231620,7.462845553547022,99099,71653,22642,12878,NA
2021-02-23,Alabama,1342,70332,71060,0.01888544891640867,0.01888544891640867,AL,15767061,3.2121168475050013,837784,580477,195860,106412,NA
2021-02-23,Alaska,155,26466,22454,0.006903001692348802,0.006903001692348802,AK,11423127,15.562800918798587,239927,154392,56096,28011,NA
2021-02-23,Arizona,8909,506662,428159,0.02080769060092162,0.02080769060092162,AZ,51706104,7.00768097537572,1525794,1121773,308668,196010,NA
2021-02-23,Arkansas,578,36836,39192,0.014747907736272709,0.014747907736272709,AR,18203780,5.990055939453768,540192,372786,62144,34175,NA
2021-02-23,California,20069,1183496,658537,0.030475128960103987,0.030475128960103987,CA,328202234,8.217896312989046,7728120,5569473,1575011,1076253,NA
2021-02-23,Colorado,763,58778,87253,0.008744684996504418,0.008744684996504418,CO,41852408,7.159728544717074,1233466,832798,237804,146567,NA
2021-02-23,Connecticut,2261,79237,356528,0.0063417179015392905,0.0063417179015392905,CT,42747871,11.99744911705603,892882,602697,218178,129591,NA
2021-02-23,Delaware,666,48493,194752,0.003419733815313835,0.003419733815313835,DE,9439079,9.60334420258522,186619,135175,34880,20611,NA
2021-02-23,District of Columbia,998,39844,235249,0.004242313463606646,0.004242313463606646,DC,8332245,11.80624414628997,166724,110923,45411,26183,NA
2021-02-23,Florida,5338,404499,311271,0.017149043759296562,0.017149043759296562,FL,129447210,5.885836857181831,4406005,2884231,915357,517679,NA
2021-02-23,Georgia,1096,90706,65946,0.01661965850847663,0.01661965850847663,GA,49062128,4.569827777312059,1880429,1213224,433782,185595,NA
2021-02-23,Hawaii,344,22041,202267,0.0017007223125868284,0.0017007223125868284,HI,7401981,5.239635730415023,333599,224806,96950,61861,NA
2021-02-23,Idaho,430,46357,38849,0.01106849597158228,0.01106849597158228,ID,4403918,2.4115729180356595,340444,229220,98149,54725,NA
2021-02-23,Illinois,9291,470933,121844,0.07625324185023473,0.07625324185023473,IL,122735542,9.694980291792065,2416034,1786799,343901,365222,NA
2021-02-23,Indiana,1624,90132,71619,0.022675546991720075,0.022675546991720075,IN,54044875,8.012167641412232,1333274,887936,179689,108696,NA
2021-02-23,Iowa,544,51036,31238,0.017414687239900122,0.017414687239900122,IA,9090062,2.8586449046338664,614928,457493,158416,121722,NA
2021-02-23,Kansas,738,53708,27227,0.027105446799133213,0.027105446799133213,KS,8660863,2.9758734314655233,517379,360817,122856,73137,NA
2021-02-23,Kentucky,792,72057,36620,0.021627525942108136,0.021627525942108136,KY,26688780,5.93124859712558,851440,579549,172672,91388,NA
2021-02-23,Louisiana,834,43520,70436,0.011840536089499688,0.011840536089499688,LA,37812418,8.1401405327673,907334,596165,124342,68129,NA
2021-02-23,Maine,176,12289,74678,0.0023567851308283565,0.0023567851308283565,ME,10663532,7.923622556268065,301705,205886,51792,28994,NA
2021-02-23,Maryland,1398,72416,232526,0.00601223089030904,0.00601223089030904,MD,53315315,8.76446872657452,1132483,764026,238623,114494,NA
2021-02-23,Massachusetts,3398,110116,405441,0.008380997481754436,0.008380997481754436,MA,108003997,15.480892841785398,1500077,1100775,356647,253889,NA
2021-02-23,Michigan,4124,100878,114791,0.03592616145865094,0.03592616145865094,MI,70907849,7.05901931309109,1985511,1288410,350902,168006,NA
2021-02-23,Minnesota,1576,99559,63366,0.02487138212921756,0.02487138212921756,MN,47027641,8.249493656008855,1170259,800484,255275,125155,NA
2021-02-23,Mississippi,383,19470,35430,0.010810047981936213,0.010810047981936213,MS,11871079,3.9712433846503816,505655,357173,62781,37819,NA
2021-02-23,Missouri,1932,87744,56155,0.03440477250467456,0.03440477250467456,MO,30678956,4.972866481771749,1110913,747804,237227,113411,NA
2021-02-23,Montana,233,16129,18427,0.012644489064959028,0.012644489064959028,MT,7302803,6.719793698700725,243015,169164,61443,40045,NA
2021-02-23,Nebraska,618,63436,20362,0.030350653177487478,0.030350653177487478,NE,16134532,8.263228463000045,392756,266231,99394,67704,NA
2021-02-23,Nevada,3810,224944,162113,0.0235021250609143,0.0235021250609143,NV,18593719,5.922207818681004,598423,410093,170000,82402,NA
2021-02-23,New Hampshire,575,28102,113309,0.005074618962306613,0.005074618962306613,NH,9799450,7.146362807657247,274267,190064,65726,43346,NA
2021-02-23,New Jersey,2653,75478,386182,0.0068698178579011965,0.0068698178579011965,NJ,72198417,8.078985225875252,1759059,1205639,386128,202407,NA
2021-02-23,New Mexico,842,52025,59909,0.01405464955182026,0.01405464955182026,NM,18187185,8.67444339514652,612496,404641,174593,103728,NA
2021-02-23,New York,8973,205182,303961,0.029520234503768575,0.029520234503768575,NY,253318725,13.030463465445848,3772702,2433665,565088,233277,NA
2021-02-23,North Carolina,839,95323,102824,0.008159573640395238,0.008159573640395238,NC,64278075,6.05716930992565,2118218,1389913,337531,151702,NA
2021-02-23,North Dakota,195,21304,13855,0.014074341392998917,0.014074341392998917,ND,9735397,12.780757571978265,196576,128669,34538,29305,NA
2021-02-23,Ohio,1990,110938,129878,0.015322071482468162,0.015322071482468162,OH,68255425,5.810109638482427,2228732,1515448,439830,207885,NA
2021-02-23,Oklahoma,711,79968,50088,0.014195016770483949,0.014195016770483949,OK,23889961,6.040720184483744,906583,600293,224229,122915,NA
2021-02-23,Oregon,515,31669,110993,0.004639932247979602,0.004639932247979602,OR,24196748,5.625724641893101,864960,568729,181075,92888,NA
2021-02-23,Pennsylvania,3085,117022,185536,0.016627500862366335,0.016627500862366335,PA,70383538,5.489750173544759,2381079,1709641,558752,346391,NA
2021-02-23,Rhode Island,1731,80264,151337,0.011438048857847057,0.011438048857847057,RI,20050511,18.98434990910468,211660,147118,60490,45657,NA
2021-02-23,South Carolina,841,62770,107264,0.007840468377088305,0.007840468377088305,SC,33618897,6.4526394886854375,941136,654169,236950,128528,NA
2021-02-23,South Dakota,329,27785,13009,0.025290183718963796,0.025290183718963796,SD,4760063,5.271229985371423,237230,159128,77007,49253,NA
2021-02-23,Tennessee,1451,86383,70403,0.020609917191028792,0.020609917191028792,TN,46648840,6.7630734257522205,1139836,767826,112918,74688,NA
2021-02-23,Texas,4884,343573,113265,0.04312011654085551,0.04312011654085551,TX,133569144,4.532023086084221,4800286,3309933,644489,339337,NA
2021-02-23,Utah,737,137502,86647,0.008505776310778215,0.008505776310778215,UT,19508022,5.943726006361742,611910,368210,86877,3986,NA
2021-02-23,Vermont,86,4731,38999,0.0022051847483268803,0.0022051847483268803,VT,7066168,11.250767043328594,144085,96215,37298,23110,NA
2021-02-23,Virginia,870,65469,63226,0.01376016195868788,0.01376016195868788,VA,40056005,4.643523053577411,1765927,1197154,366706,192732,NA
